labels, rules
Naive,! (TCR | TBET | GATA3 | RORGT | FOXP3 | IL10 | TGFB)
Th1,(TBET & IFNG) & ! (GATA3 | RORGT | IL10 | TGFB | FOXP3)
Th2,(GATA3 & IL4) & ! (TBET | RORGT | IL10 | TGFB | FOXP3)
Th17,RORGT & IL6 & ! (TBET | GATA3 | IL10 | FOXP3)
Treg,FOXP3 & TGFB & ! (TBET | GATA3 | RORGT)
Tr,(IL10 | TGFB) & ! (TBET | GATA3 | RORGT | FOXP3)
Th1R,TBET & (IL10 | TGFB | FOXP3)
Th2R,GATA3 & (IL10 | TGFB | FOXP3)
Th17R,RORGT & (IL10 | FOXP3)
Tex,TBET & ! (IFNG | IL10 | TGFB)
Tex,GATA3 & ! (IL4 | IL10 | TGFB)
Tex,RORGT & ! IL6
Tex,TCR & ! (TBET | GATA3 | RORGT | FOXP3 | IL10 | TGFB)
