,WT,TBET_0,IFNG_0,GATA3_0,IL2_0,IL4_0,RORGT_0,IL21_0,FOXP3_0,TGFB_0,IL10_0,SOCS1_0,SOCS2_0,SOCS3_0,SOCS5_0,IFNGe_0,IL12e_0,IL2e_0,IL4e_0,IL6e_0,TGFBe_0,IL10e_0,TCR_0,TBET_1,IFNG_1,GATA3_1,IL2_1,IL4_1,RORGT_1,IL21_1,FOXP3_1,TGFB_1,IL10_1,SOCS1_1,SOCS2_1,SOCS3_1,SOCS5_1,IFNGe_1,IL12e_1,IL2e_1,IL4e_1,IL6e_1,TGFBe_1,IL10e_1,TCR_1,SOCSall_0,SOCSall_1
Naive,16384,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,16384,32768,65536,131072,262144,524288,1048576,2097152,NA,1048576,NA,1048576,1048576,NA,1048576,NA,NA,NA,1048576,1048576,1048576,1048576,1048576,1048576,1048576,1048576,1048576,1048576,1048576,NA,1024,1024
Anergy,1232,3712,5392,640,128,680,616,336,1168,784,704,NA,616,1968,472,2828,3264,7808,24688,49236,102364,118336,NA,1158664,NA,1168384,190464,224448,1562072,262144,NA,NA,NA,320128,99720,214016,109508,59088,109088,157952,108668,402432,NA,NA,218176,200,312
Th1,6280,NA,NA,3200,3880,3076,2888,1040,3192,4800,4800,3440,3140,1416,3136,7236,13630,27280,45488,91116,188388,262272,NA,217656,119808,NA,33280,NA,NA,NA,NA,NA,NA,38272,225944,26624,216156,177648,216576,167712,216996,55392,NA,NA,433152,188,160
Th2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,148,NA,650,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101792,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Th17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7404,NA,NA,7584,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7404,NA,NA,NA,NA
Th1R,7992,NA,1680,4088,3784,4040,4208,5856,3436,2432,2688,4432,3996,3320,3996,4304,12328,24656,49312,97968,188880,509344,NA,720832,928768,NA,512240,NA,NA,NA,780496,537248,430400,420096,474760,337664,479360,654528,475264,474760,466588,361536,595092,443232,949520,452,376
Th2R,88,88,112,NA,40,44,48,96,88,176,NA,32,44,16,44,112,200,400,800,1600,3008,3008,NA,NA,NA,928768,7168,6304,NA,NA,NA,NA,33428,6016,5232,7168,5232,4640,5232,5232,5232,4896,NA,32984,10464,NA,8
Tr,792,4392,1008,264,360,352,432,864,308,NA,NA,288,396,1472,396,1904,2696,5392,10784,22224,41648,155616,NA,NA,NA,NA,NA,716032,NA,786432,NA,1552320,1633324,264064,242920,463104,238320,152672,242416,52760,251092,224320,446080,572360,485840,184,168
Treg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,305424,NA,NA,NA,260928,NA,NA,NA,NA,NA,NA,NA,NA,190160,NA,NA,NA,NA,NA,NA,NA
Anergy*,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103728,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Th1R*,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,419068,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Th2R*,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4880,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NoLabel,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1055728,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
