,WT,TBET_0,IFNG_0,GATA3_0,IL2_0,IL4_0,RORGT_0,IL21_0,FOXP3_0,TGFB_0,IL10_0,SOCS1_0,SOCS2_0,SOCS3_0,SOCS5_0,IFNGe_0,IL12e_0,IL2e_0,IL4e_0,IL6e_0,TGFBe_0,IL10e_0,TCR_0,TBET_1,IFNG_1,GATA3_1,IL2_1,IL4_1,RORGT_1,IL21_1,FOXP3_1,TGFB_1,IL10_1,SOCS1_1,SOCS2_1,SOCS3_1,SOCS5_1,IFNGe_1,IL12e_1,IL2e_1,IL4e_1,IL6e_1,TGFBe_1,IL10e_1,TCR_1,SOCSall_0,SOCSall_1
Naive,16384,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,16384,32768,65536,131072,262144,524288,1048576,2097152,NA,1048576,NA,1048576,1048576,NA,1048576,NA,NA,NA,1048576,1048576,1048576,1048576,1048576,1048576,1048576,1048576,1048576,1048576,1048576,NA,1024,1024
Anergy,5264,4560,7136,2752,2720,2632,2632,672,2480,2912,3072,NA,2632,4016,2576,12448,15088,34656,69312,49236,266816,464320,NA,1425952,NA,1268768,190464,224448,1339252,262144,NA,NA,NA,448320,379072,214016,378608,225424,378608,294656,378608,402432,NA,NA,757216,544,312
Th1,3936,NA,NA,2016,2240,2000,1968,704,2176,2688,3840,4136,1968,608,1472,896,3640,9872,19600,91116,82080,116832,NA,60960,119808,NA,33280,NA,NA,NA,NA,NA,NA,38272,59216,26624,58928,89792,58928,57008,58928,55392,NA,NA,117856,NA,160
Th2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,552,NA,3536,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101792,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Th17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,235040,NA,NA,173056,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,168064,NA,NA,NA,NA
Th1R,6352,NA,56,3152,2904,3200,3176,5824,3160,2432,1280,3720,3176,544,2696,1112,6564,15588,32048,97062,129218,305764,NA,610240,928768,NA,501872,NA,NA,NA,427944,361724,421304,303776,367788,327280,377344,582820,373428,446172,365220,357168,427446,432296,735948,NA,376
Th2R,80,80,96,NA,32,40,40,96,80,160,NA,32,40,16,40,96,176,352,704,1600,3008,3008,NA,NA,NA,828384,7168,6304,NA,NA,NA,NA,69994,5696,5104,7168,5120,4528,5120,5136,5120,4896,NA,69148,10240,NA,8
Tr,752,3552,904,272,296,320,376,896,296,NA,NA,304,376,3008,856,1832,3764,5068,9408,23130,43166,158652,NA,NA,NA,NA,NA,716032,NA,786432,NA,1562372,1605854,252512,237396,473488,228576,146012,232492,49144,240700,228688,453066,547132,475892,480,168
Treg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,315792,NA,NA,NA,250712,NA,NA,NA,NA,NA,NA,NA,NA,196460,NA,NA,NA,NA,NA,NA,NA
Anergy*,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103728,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Th1R*,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,414252,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Th2R*,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4880,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NoLabel,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1418496,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
