,WT,TBET_0,IFNG_0,GATA3_0,IL2_0,IL4_0,RORGT_0,IL21_0,FOXP3_0,TGFB_0,IL10_0,SOCS1_0,SOCS2_0,SOCS3_0,SOCS5_0,IFNGe_0,IL12e_0,IL2e_0,IL4e_0,IL6e_0,TGFBe_0,IL10e_0,TCR_0,TBET_1,IFNG_1,GATA3_1,IL2_1,IL4_1,RORGT_1,IL21_1,FOXP3_1,TGFB_1,IL10_1,SOCS1_1,SOCS2_1,SOCS3_1,SOCS5_1,IFNGe_1,IL12e_1,IL2e_1,IL4e_1,IL6e_1,TGFBe_1,IL10e_1,TCR_1,SOCSall_0,SOCSall_1
Naive,16384,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,16384,32768,65536,131072,262144,524288,1048576,2097152,NA,1048576,NA,1048576,1048576,NA,1048576,NA,NA,NA,1048576,1048576,1048576,1048576,1048576,1048576,1048576,1048576,1048576,1048576,1048576,NA,1024,1024
Anergy,NA,NA,NA,NA,NA,NA,NA,NA,NA,2912,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,266816,NA,NA,1048576,NA,1048576,NA,NA,1395636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Th1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2688,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82080,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Th17,3456,1728,4608,1920,1728,1728,NA,NA,864,NA,3072,NA,1728,8192,1728,8704,10944,21888,43776,2468,NA,405440,NA,NA,NA,NA,NA,NA,135872,87680,NA,173056,NA,313600,276320,NA,276320,174048,276320,74064,276320,282880,168064,NA,552640,1024,NA
Th1R,10288,NA,56,5168,5144,5200,5144,7104,6008,2432,5120,7312,5144,NA,5128,632,12700,25460,51648,187266,129218,422596,NA,1048576,1048576,NA,725616,NA,NA,NA,427944,361724,421304,342048,427004,355968,436272,672612,432356,628252,424148,412560,427446,432296,853804,NA,544
Th2R,NA,NA,NA,NA,NA,NA,NA,NA,NA,160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3008,NA,NA,NA,NA,1048576,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tr,2640,6464,3528,1104,1320,1264,3048,1088,1320,NA,NA,880,1320,NA,1336,7048,9124,18188,35648,72410,43166,220540,NA,NA,NA,NA,NA,1048576,NA,960896,NA,1562372,1675848,392928,345252,692608,335984,201916,339900,118968,348108,353136,453066,616280,690708,NA,480
Treg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,322960,NA,NA,NA,620632,NA,NA,NA,NA,NA,NA,NA,NA,227292,NA,NA,NA,NA,NA,NA,NA
Th1R*,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,565644,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NoLabel,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1048576,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
