"initial","final","genes","values"
"Th1R","Th1R","FOXP3",1
"Th1R","Th1R","FOXP3",1
"Th1R","Th1R","FOXP3",1
"Th1R","Th1R","FOXP3",1
"Th1R","Th1R","FOXP3",1
"Th1R","Th1R","FOXP3",1
"Th1R","Th1R","GATA3",1
"Th1R","Th1R","GATA3",1
"Th1R","Th1R","GATA3",1
"Th1R","Th1R","IFNG",0
"Th1R","Th1R","IFNG",0
"Th1R","Th1R","IFNG",0
"Th1R","Th1R","IFNG",1
"Th1R","Th1R","IFNG",1
"Th1R","Th1R","IFNG",1
"Th1R","Th1R","IFNGe",0
"Th1R","Th1R","IFNGe",0
"Th1R","Th1R","IFNGe",0
"Th1R","Th1R","IFNGe",0
"Th1R","Th1R","IFNGe",0
"Th1R","Th1R","IFNGe",0
"Th1R","Th1R","IL10",0
"Th1R","Th1R","IL10",0
"Th1R","Th1R","IL10",0
"Th1R","Th1R","IL10",0
"Th1R","Th1R","IL10e",0
"Th1R","Th1R","IL10e",0
"Th1R","Th1R","IL10e",0
"Th1R","Th1R","IL10e",0
"Th1R","Th1R","IL10e",0
"Th1R","Th1R","IL12e",0
"Th1R","Th1R","IL12e",0
"Th1R","Th1R","IL12e",0
"Th1R","Th1R","IL12e",0
"Th1R","Th1R","IL12e",0
"Th1R","Th1R","IL2",0
"Th1R","Th1R","IL2",0
"Th1R","Th1R","IL2",1
"Th1R","Th1R","IL2",1
"Th1R","Th1R","IL2",1
"Th1R","Th1R","IL2",1
"Th1R","Th1R","IL2e",1
"Th1R","Th1R","IL2e",1
"Th1R","Th1R","IL2e",1
"Th1R","Th1R","IL2e",1
"Th1R","Th1R","IL2e",1
"Th1R","Th1R","IL2e",1
"Th1R","Th1R","IL4",1
"Th1R","Th1R","IL4",1
"Th1R","Th1R","IL4",1
"Th1R","Th1R","IL4e",0
"Th1R","Th1R","IL4e",0
"Th1R","Th1R","IL4e",0
"Th1R","Th1R","IL4e",0
"Th1R","Th1R","IL4e",0
"Th1R","Th1R","IL4e",0
"Th1R","Th1R","IL6",1
"Th1R","Th1R","IL6",1
"Th1R","Th1R","IL6",1
"Th1R","Th1R","IL6e",0
"Th1R","Th1R","IL6e",0
"Th1R","Th1R","IL6e",0
"Th1R","Th1R","IL6e",0
"Th1R","Th1R","IL6e",0
"Th1R","Th1R","IL6e",0
"Th1R","Th1R","RORGT",1
"Th1R","Th1R","RORGT",1
"Th1R","Th1R","RORGT",1
"Th1R","Th1R","RORGT",1
"Th1R","Th1R","RORGT",1
"Th1R","Th1R","RORGT",1
"Th1R","Th1R","SOCS1",0
"Th1R","Th1R","SOCS1",0
"Th1R","Th1R","SOCS1",0
"Th1R","Th1R","SOCS1",0
"Th1R","Th1R","SOCS1",0
"Th1R","Th1R","SOCS1",0
"Th1R","Th1R","SOCS2",0
"Th1R","Th1R","SOCS2",0
"Th1R","Th1R","SOCS2",0
"Th1R","Th1R","SOCS2",0
"Th1R","Th1R","SOCS2",0
"Th1R","Th1R","SOCS2",0
"Th1R","Th1R","SOCS3",0
"Th1R","Th1R","SOCS3",0
"Th1R","Th1R","SOCS3",0
"Th1R","Th1R","SOCS3",0
"Th1R","Th1R","TBET",0
"Th1R","Th1R","TBET",0
"Th1R","Th1R","TBET",0
"Th1R","Th1R","TGFB",0
"Th1R","Th1R","TGFB",0
"Th1R","Th1R","TGFB",1
"Th1R","Th1R","TGFB",1
"Th1R","Th1R","TGFB",1
"Th1R","Th1R","TGFB",1
"Th1R","Th1R","TGFBe",1
"Th1R","Th1R","TGFBe",1
"Th1R","Th1R","TGFBe",1
"Th1R","Th1R","TGFBe",1
"Th1R","Th1R","TGFBe",1
"Th1R","Th1R","TGFBe",1
"Th1R","Th2R","GATA3",1
"Th1R","Th2R","GATA3",1
"Th1R","Th2R","IL4",1
"Th1R","Tr","GATA3",1
"Th1R","Tr","IL10",0
"Th1R","Tr","IL10",0
"Th1R","Tr","IL10e",0
"Th1R","Tr","IL12e",0
"Th1R","Tr","IL4",1
"Th1R","Tr","IL4",1
"Th1R","Tr","IL6",1
"Th1R","Tr","IL6",1
"Th1R","Tr","IL6",1
"Th1R","Tr","SOCS3",0
"Th1R","Tr","SOCS3",0
"Th1R","Tr","TBET",0
"Th1R","Tr","TBET",0
"Th1R","Tr","TBET",0
"Th1R","Tr","TCR",0
"Th1R","Tr","TCR",0
"Th1R","Tr","TCR",0
"Th1R","Tr","TCR",0
"Th1R","Tr","TCR",0
"Th1R","Tr","TCR",0
"Th2R","Th1R","IFNG",1
"Th2R","Th1R","IFNG",1
"Th2R","Th1R","TBET",1
"Th2R","Th1R","TBET",1
"Th2R","Th2R","IFNGe",0
"Th2R","Th2R","IFNGe",0
"Th2R","Th2R","IL10",0
"Th2R","Th2R","IL10e",0
"Th2R","Th2R","IL10e",0
"Th2R","Th2R","IL12e",0
"Th2R","Th2R","IL12e",0
"Th2R","Th2R","IL2",0
"Th2R","Th2R","IL2",1
"Th2R","Th2R","IL2e",1
"Th2R","Th2R","IL2e",1
"Th2R","Th2R","IL4",1
"Th2R","Th2R","IL4",1
"Th2R","Th2R","IL4e",0
"Th2R","Th2R","IL4e",0
"Th2R","Th2R","IL6e",0
"Th2R","Th2R","IL6e",0
"Th2R","Th2R","RORGT",1
"Th2R","Th2R","RORGT",1
"Th2R","Th2R","SOCS1",0
"Th2R","Th2R","SOCS1",0
"Th2R","Th2R","SOCS2",0
"Th2R","Th2R","SOCS2",0
"Th2R","Th2R","SOCS3",0
"Th2R","Tr","FOXP3",1
"Th2R","Tr","FOXP3",1
"Th2R","Tr","GATA3",0
"Th2R","Tr","GATA3",0
"Th2R","Tr","IL10",0
"Th2R","Tr","IL6",1
"Th2R","Tr","IL6",1
"Th2R","Tr","SOCS3",0
"Th2R","Tr","TCR",0
"Th2R","Tr","TCR",0
"Th2R","Tr","TGFB",1
"Th2R","Tr","TGFB",1
"Th2R","Tr","TGFBe",1
"Th2R","Tr","TGFBe",1
"Tr","Th1R","IFNG",1
"Tr","Th1R","IFNG",1
