"initial","final","genes","values"
"Tex","Tex","FOXP3",1
"Tex","Tex","GATA3",0
"Tex","Tex","GATA3",1
"Tex","Tex","GATA3",1
"Tex","Tex","IFNGe",1
"Tex","Tex","IFNGe",1
"Tex","Tex","IFNGe",1
"Tex","Tex","IL10",1
"Tex","Tex","IL10e",1
"Tex","Tex","IL12e",0
"Tex","Tex","IL12e",0
"Tex","Tex","IL12e",0
"Tex","Tex","IL2",0
"Tex","Tex","IL2",1
"Tex","Tex","IL2e",0
"Tex","Tex","IL2e",0
"Tex","Tex","IL2e",0
"Tex","Tex","IL4",1
"Tex","Tex","IL4",1
"Tex","Tex","IL4e",1
"Tex","Tex","IL4e",1
"Tex","Tex","IL4e",1
"Tex","Tex","IL6",1
"Tex","Tex","IL6",1
"Tex","Tex","IL6e",1
"Tex","Tex","IL6e",1
"Tex","Tex","IL6e",1
"Tex","Tex","RORGT",1
"Tex","Tex","RORGT",1
"Tex","Tex","RORGT",1
"Tex","Tex","SOCS1",0
"Tex","Tex","SOCS1",0
"Tex","Tex","SOCS2",0
"Tex","Tex","SOCS2",0
"Tex","Tex","SOCS2",1
"Tex","Tex","SOCS3",1
"Tex","Tex","SOCS3",1
"Tex","Tex","TBET",0
"Tex","Tex","TBET",1
"Tex","Tex","TBET",1
"Tex","Tex","TGFB",1
"Tex","Tex","TGFBe",1
"Tex","Th1","IFNG",1
"Tex","Th1","IFNG",1
"Tex","Th1","IFNG",1
"Tex","Th1","IL10",1
"Tex","Th1","IL10e",1
"Tex","Th1","IL2",0
"Tex","Th1","IL4",1
"Tex","Th1","IL6",0
"Tex","Th1","SOCS1",0
"Tex","Th1","SOCS3",1
"Tex","Th1","TCR",0
"Tex","Th1","TCR",0
"Tex","Th1","TCR",0
"Tex","Th1R","FOXP3",1
"Tex","Th1R","FOXP3",1
"Tex","Th1R","TGFB",1
"Tex","Th1R","TGFB",1
"Tex","Th1R","TGFBe",1
"Tex","Th1R","TGFBe",1
"Tex","Th2R","IL10",1
"Tex","Th2R","IL10e",1
"Th1","Tex","GATA3",1
"Th1","Tex","GATA3",1
"Th1","Tex","IFNG",0
"Th1","Th1","IFNG",0
"Th1","Th1","IFNGe",1
"Th1","Th1","IFNGe",1
"Th1","Th1","IL12e",0
"Th1","Th1","IL12e",0
"Th1","Th1","IL2",0
"Th1","Th1","IL2",1
"Th1","Th1","IL2e",0
"Th1","Th1","IL2e",0
"Th1","Th1","IL4",1
"Th1","Th1","IL4",1
"Th1","Th1","IL4e",1
"Th1","Th1","IL4e",1
"Th1","Th1","IL6",1
"Th1","Th1","IL6",1
"Th1","Th1","IL6e",1
"Th1","Th1","IL6e",1
"Th1","Th1","RORGT",1
"Th1","Th1","RORGT",1
"Th1","Th1","SOCS1",0
"Th1","Th1","SOCS1",0
"Th1","Th1","SOCS2",0
"Th1","Th1","SOCS2",0
"Th1","Th1","SOCS3",0
"Th1","Th1","SOCS3",0
"Th1","Th1","TBET",0
"Th1","Th1","TBET",0
"Th1","Th1","TCR",0
"Th1","Th1","TCR",0
"Th1","Th1R","FOXP3",1
"Th1","Th1R","FOXP3",1
"Th1","Th1R","IL10",1
"Th1","Th1R","IL10",1
"Th1","Th1R","IL10e",1
"Th1","Th1R","IL10e",1
"Th1","Th1R","TGFB",1
"Th1","Th1R","TGFB",1
"Th1","Th1R","TGFBe",1
"Th1","Th1R","TGFBe",1
"Th1R","Tex","IFNG",0
"Th1R","Tex","IL6",1
"Th1R","Tex","IL6",1
"Th1R","Th1","IFNG",0
"Th1R","Th1","IL10",0
"Th1R","Th1","IL10",0
"Th1R","Th1","IL6",1
"Th1R","Th1","TCR",0
"Th1R","Th1","TCR",0
"Th1R","Th1","TCR",0
"Th1R","Th1","TCR",0
"Th1R","Th1","TCR",0
"Th1R","Th1","TGFB",0
"Th1R","Th1R","FOXP3",0
"Th1R","Th1R","FOXP3",0
"Th1R","Th1R","FOXP3",1
"Th1R","Th1R","FOXP3",1
"Th1R","Th1R","FOXP3",1
"Th1R","Th1R","GATA3",1
"Th1R","Th1R","IFNG",1
"Th1R","Th1R","IFNG",1
"Th1R","Th1R","IFNG",1
"Th1R","Th1R","IFNGe",1
"Th1R","Th1R","IFNGe",1
"Th1R","Th1R","IFNGe",1
"Th1R","Th1R","IFNGe",1
"Th1R","Th1R","IFNGe",1
"Th1R","Th1R","IL10",0
"Th1R","Th1R","IL10",0
"Th1R","Th1R","IL10",1
"Th1R","Th1R","IL10e",1
"Th1R","Th1R","IL10e",1
"Th1R","Th1R","IL10e",1
"Th1R","Th1R","IL10e",1
"Th1R","Th1R","IL10e",1
"Th1R","Th1R","IL12e",0
"Th1R","Th1R","IL12e",0
"Th1R","Th1R","IL12e",0
"Th1R","Th1R","IL12e",0
"Th1R","Th1R","IL12e",0
"Th1R","Th1R","IL2",0
"Th1R","Th1R","IL2",0
"Th1R","Th1R","IL2",0
"Th1R","Th1R","IL2",1
"Th1R","Th1R","IL2",1
"Th1R","Th1R","IL2e",0
"Th1R","Th1R","IL2e",0
"Th1R","Th1R","IL2e",0
"Th1R","Th1R","IL2e",0
"Th1R","Th1R","IL2e",0
"Th1R","Th1R","IL4",1
"Th1R","Th1R","IL4",1
"Th1R","Th1R","IL4",1
"Th1R","Th1R","IL4e",1
"Th1R","Th1R","IL4e",1
"Th1R","Th1R","IL4e",1
"Th1R","Th1R","IL4e",1
"Th1R","Th1R","IL4e",1
"Th1R","Th1R","IL6",1
"Th1R","Th1R","IL6",1
"Th1R","Th1R","IL6e",1
"Th1R","Th1R","IL6e",1
"Th1R","Th1R","IL6e",1
"Th1R","Th1R","IL6e",1
"Th1R","Th1R","IL6e",1
"Th1R","Th1R","RORGT",1
"Th1R","Th1R","RORGT",1
"Th1R","Th1R","RORGT",1
"Th1R","Th1R","RORGT",1
"Th1R","Th1R","RORGT",1
"Th1R","Th1R","SOCS1",0
"Th1R","Th1R","SOCS1",0
"Th1R","Th1R","SOCS1",0
"Th1R","Th1R","SOCS1",0
"Th1R","Th1R","SOCS1",1
"Th1R","Th1R","SOCS2",0
"Th1R","Th1R","SOCS2",0
"Th1R","Th1R","SOCS2",0
"Th1R","Th1R","SOCS2",0
"Th1R","Th1R","SOCS2",0
"Th1R","Th1R","SOCS3",0
"Th1R","Th1R","SOCS3",0
"Th1R","Th1R","SOCS3",0
"Th1R","Th1R","SOCS3",0
"Th1R","Th1R","SOCS3",1
"Th1R","Th1R","TBET",0
"Th1R","Th1R","TBET",0
"Th1R","Th1R","TBET",0
"Th1R","Th1R","TGFB",0
"Th1R","Th1R","TGFB",0
"Th1R","Th1R","TGFB",1
"Th1R","Th1R","TGFB",1
"Th1R","Th1R","TGFBe",1
"Th1R","Th1R","TGFBe",1
"Th1R","Th1R","TGFBe",1
"Th1R","Th1R","TGFBe",1
"Th1R","Th1R","TGFBe",1
"Th1R","Th2R","GATA3",1
"Th1R","Th2R","GATA3",1
"Th1R","Tr","GATA3",1
"Th1R","Tr","IL4",1
"Th1R","Tr","TBET",0
"Th1R","Treg","GATA3",1
"Th1R","Treg","IL4",1
"Th1R","Treg","TBET",0
"Th2R","Tex","GATA3",0
"Th2R","Tex","IL10",0
"Th2R","Tex","IL10",0
"Th2R","Tex","IL6",1
"Th2R","Tex","TBET",1
"Th2R","Th1","GATA3",0
"Th2R","Th1","IL6",1
"Th2R","Th1","TBET",1
"Th2R","Th1","TCR",0
"Th2R","Th1","TCR",0
"Th2R","Th1R","IFNG",1
"Th2R","Th1R","IFNG",1
"Th2R","Th2R","IFNGe",1
"Th2R","Th2R","IFNGe",1
"Th2R","Th2R","IL10e",1
"Th2R","Th2R","IL10e",1
"Th2R","Th2R","IL12e",0
"Th2R","Th2R","IL12e",0
"Th2R","Th2R","IL2",0
"Th2R","Th2R","IL2",1
"Th2R","Th2R","IL2e",0
"Th2R","Th2R","IL2e",0
"Th2R","Th2R","IL4",1
"Th2R","Th2R","IL4",1
"Th2R","Th2R","IL4e",1
"Th2R","Th2R","IL4e",1
"Th2R","Th2R","IL6e",1
"Th2R","Th2R","IL6e",1
"Th2R","Th2R","RORGT",1
"Th2R","Th2R","RORGT",1
"Th2R","Th2R","SOCS1",0
"Th2R","Th2R","SOCS1",1
"Th2R","Th2R","SOCS2",0
"Th2R","Th2R","SOCS2",0
"Th2R","Th2R","SOCS3",0
"Th2R","Th2R","SOCS3",0
"Th2R","Tr","TGFB",1
"Th2R","Tr","TGFBe",1
"Th2R","Treg","FOXP3",1
"Th2R","Treg","FOXP3",1
"Th2R","Treg","TGFB",1
"Th2R","Treg","TGFBe",1
"Tr","Th1","IL6",1
"Tr","Th1","TCR",0
"Tr","Th1","TGFB",0
"Tr","Th1R","IFNG",1
"Tr","Th1R","IL10",0
"Tr","Th1R","TBET",1
"Tr","Tr","GATA3",1
"Tr","Tr","IFNGe",1
"Tr","Tr","IL10e",1
