"initial","final","genes","values"
"Naive","Tex","IFNG",1
"Naive","Tex","IFNGe",0
"Naive","Tex","IL10e",0
"Naive","Tex","IL12e",0
"Naive","Tex","IL2",1
"Naive","Tex","IL2e",1
"Naive","Tex","IL4",1
"Naive","Tex","IL4e",0
"Naive","Tex","IL6",1
"Naive","Tex","IL6e",0
"Naive","Tex","SOCS1",0
"Naive","Tex","SOCS2",1
"Naive","Tex","SOCS3",1
"Naive","Tex","TGFBe",1
"Naive","Tr*","FOXP3",1
"Naive","Tex","GATA3",1
"Naive","Tex","RORGT",1
"Naive","Tex","TBET",1
"Naive","Tr","IL10",1
"Naive","Tr","TCR",1
"Naive","Tr","TGFB",1
"Th1R","Tex","TCR",0
"Th1R","Tex","TCR",0
"Th1R","Tex","TCR",0
"Th1R","Tex","TCR",0
"Th1R","Tex","TCR",0
"Th1R","Tex","TCR",0
"Th1R","Tex","IL10",0
"Th1R","Tex","IL10",0
"Th1R","Tex","IL10",0
"Th1R","Tex","IL10e",0
"Th1R","Tex","IL10e",0
"Th1R","Th1","IL10",0
"Th1R","Th1","IL10",0
"Th1R","Th1R","FOXP3",1
"Th1R","Th1R","FOXP3",1
"Th1R","Th1R","FOXP3",1
"Th1R","Th1R","FOXP3",1
"Th1R","Th1R","FOXP3",1
"Th1R","Th1R","FOXP3",1
"Th1R","Th1R","IFNG",0
"Th1R","Th1R","IFNG",0
"Th1R","Th1R","IFNG",0
"Th1R","Th1R","IFNG",1
"Th1R","Th1R","IFNG",1
"Th1R","Th1R","IFNG",1
"Th1R","Th1R","IFNGe",0
"Th1R","Th1R","IFNGe",0
"Th1R","Th1R","IFNGe",0
"Th1R","Th1R","IFNGe",0
"Th1R","Th1R","IFNGe",0
"Th1R","Th1R","IFNGe",0
"Th1R","Th1R","IL10",0
"Th1R","Th1R","IL10e",0
"Th1R","Th1R","IL10e",0
"Th1R","Th1R","IL10e",0
"Th1R","Th1R","IL10e",0
"Th1R","Th1R","IL12e",0
"Th1R","Th1R","IL12e",0
"Th1R","Th1R","IL12e",0
"Th1R","Th1R","IL12e",0
"Th1R","Th1R","IL2",0
"Th1R","Th1R","IL2",0
"Th1R","Th1R","IL2",1
"Th1R","Th1R","IL2",1
"Th1R","Th1R","IL2",1
"Th1R","Th1R","IL2",1
"Th1R","Th1R","IL2e",1
"Th1R","Th1R","IL2e",1
"Th1R","Th1R","IL2e",1
"Th1R","Th1R","IL2e",1
"Th1R","Th1R","IL2e",1
"Th1R","Th1R","IL2e",1
"Th1R","Th1R","IL4e",0
"Th1R","Th1R","IL4e",0
"Th1R","Th1R","IL4e",0
"Th1R","Th1R","IL4e",0
"Th1R","Th1R","IL4e",0
"Th1R","Th1R","IL4e",0
"Th1R","Th1R","IL6e",0
"Th1R","Th1R","IL6e",0
"Th1R","Th1R","IL6e",0
"Th1R","Th1R","IL6e",0
"Th1R","Th1R","IL6e",0
"Th1R","Th1R","IL6e",0
"Th1R","Th1R","SOCS1",0
"Th1R","Th1R","SOCS1",0
"Th1R","Th1R","SOCS1",0
"Th1R","Th1R","SOCS1",0
"Th1R","Th1R","SOCS1",0
"Th1R","Th1R","SOCS1",0
"Th1R","Th1R","SOCS2",0
"Th1R","Th1R","SOCS2",0
"Th1R","Th1R","SOCS2",0
"Th1R","Th1R","SOCS2",0
"Th1R","Th1R","SOCS2",0
"Th1R","Th1R","SOCS2",0
"Th1R","Th1R","SOCS3",0
"Th1R","Th1R","SOCS3",0
"Th1R","Th1R","TGFB",0
"Th1R","Th1R","TGFB",0
"Th1R","Th1R","TGFB",1
"Th1R","Th1R","TGFB",1
"Th1R","Th1R","TGFB",1
"Th1R","Th1R","TGFB",1
"Th1R","Th1R","TGFBe",1
"Th1R","Th1R","TGFBe",1
"Th1R","Th1R","TGFBe",1
"Th1R","Th1R","TGFBe",1
"Th1R","Th1R","TGFBe",1
"Th1R","Th1R","TGFBe",1
"Th1R","Tr*","RORGT",1
"Th1R","Tr*","RORGT",1
"Th1R","Tr*","RORGT",1
"Th1R","Tr*","RORGT",1
"Th1R","Tr*","RORGT",1
"Th1R","Tr*","RORGT",1
"Th1R","Th2R","GATA3",1
"Th1R","Th2R","GATA3",1
"Th1R","Th2R","GATA3",1
"Th1R","Th2R","GATA3",1
"Th1R","Th2R","GATA3",1
"Th1R","Th2R","GATA3",1
"Th1R","Th2R","IL12e",0
"Th1R","Th2R","IL4",1
"Th1R","Tr","IL12e",0
"Th1R","Tr","IL4",1
"Th1R","Tr","IL4",1
"Th1R","Tr","IL4",1
"Th1R","Tr","IL4",1
"Th1R","Tr","IL4",1
"Th1R","Tr","IL6",1
"Th1R","Tr","IL6",1
"Th1R","Tr","IL6",1
"Th1R","Tr","IL6",1
"Th1R","Tr","IL6",1
"Th1R","Tr","IL6",1
"Th1R","Tr","SOCS3",0
"Th1R","Tr","SOCS3",0
"Th1R","Tr","SOCS3",0
"Th1R","Tr","SOCS3",0
"Th1R","Tr","TBET",0
"Th1R","Tr","TBET",0
"Th1R","Tr","TBET",0
"Th1R","Tr","TBET",0
"Th1R","Tr","TBET",0
"Th1R","Tr","TBET",0
"Th2R","Tex","TCR",0
"Th2R","Tex","TCR",0
"Th2R","Tex","IL10",0
"Th2R","Tex","IL10",0
"Th2R","Th1R","IFNG",1
"Th2R","Th1R","IFNG",1
"Th2R","Th1R","TBET",1
"Th2R","Th1R","TBET",1
"Th2R","Th2R","IFNGe",0
"Th2R","Th2R","IFNGe",0
"Th2R","Th2R","IL10e",0
"Th2R","Th2R","IL10e",0
"Th2R","Th2R","IL12e",0
"Th2R","Th2R","IL12e",0
