"initial","final","genes","values"
"Naive","Tex","IFNG",1
"Naive","Tex","IFNGe",0
"Naive","Tex","IL10e",1
"Naive","Tex","IL12e",0
"Naive","Tex","IL2",1
"Naive","Tex","IL2e",1
"Naive","Tex","IL4",1
"Naive","Tex","IL4e",1
"Naive","Tex","IL6",1
"Naive","Tex","IL6e",1
"Naive","Tex","SOCS1",1
"Naive","Tex","SOCS2",1
"Naive","Tex","SOCS3",1
"Naive","Tex","TGFBe",1
"Naive","Tr*","FOXP3",1
"Naive","Tex","GATA3",1
"Naive","Tex","RORGT",1
"Naive","Tex","TBET",1
"Naive","Th1","TCR",1
"Naive","Tr","IL10",1
"Naive","Tr","TGFB",1
"Tex","Tex","TCR",0
"Tex","Tex","TCR",0
"Tex","Tex","TCR",0
"Tex","Tr*","FOXP3",1
"Tex","Tex","GATA3",0
"Tex","Tex","GATA3",1
"Tex","Tex","GATA3",1
"Tex","Tex","IFNGe",0
"Tex","Tex","IFNGe",0
"Tex","Tex","IFNGe",0
"Tex","Tex","IL12e",0
"Tex","Tex","IL12e",0
"Tex","Tex","IL2",1
"Tex","Tex","IL2e",1
"Tex","Tex","IL2e",1
"Tex","Tex","IL2e",1
"Tex","Tex","IL4",1
"Tex","Tex","IL4e",1
"Tex","Tex","IL4e",1
"Tex","Tex","IL4e",1
"Tex","Tex","IL6",1
"Tex","Tex","IL6",1
"Tex","Tex","IL6e",1
"Tex","Tex","IL6e",1
"Tex","Tex","IL6e",1
"Tex","Tex","SOCS2",0
"Tex","Tex","SOCS2",0
"Tex","Tex","SOCS2",1
"Tex","Tex","SOCS3",1
"Tex","Tex","SOCS3",1
"Tex","Tex","SOCS3",1
"Tex","Tex","TBET",0
"Tex","Tex","TBET",1
"Tex","Tex","TBET",1
"Tex","Tex","RORGT",1
"Tex","Tex","RORGT",1
"Tex","Th1","IFNG",1
"Tex","Th1","IFNG",1
"Tex","Th1","IFNG",1
"Tex","Th1","IL2",0
"Tex","Th1","IL2",0
"Tex","Th1","IL6",0
"Tex","Th1","SOCS1",0
"Tex","Th1","SOCS1",0
"Tex","Th1","SOCS1",0
"Tex","Th17","RORGT",1
"Tex","Th17","TGFB",1
"Tex","Th17","TGFBe",1
"Tex","Th1R","FOXP3",1
"Tex","Th1R","FOXP3",1
"Tex","Th1R","IL10",1
"Tex","Th1R","IL10e",1
"Tex","Th1R","TGFB",1
"Tex","Th1R","TGFB",1
"Tex","Th1R","TGFBe",1
"Tex","Th1R","TGFBe",1
"Tex","Th2","IL12e",0
"Tex","Th2","IL4",1
"Tex","Th2","IL4",1
"Tex","Th2R","IL10",1
"Tex","Th2R","IL10e",1
"Tex","Tr","IL10",1
"Tex","Tr","IL10e",1
"Th1","Tex","TCR",0
"Th1","Tex","TCR",0
"Th1","Tex","GATA3",1
"Th1","Tex","GATA3",1
"Th1","Tex","IFNG",0
"Th1","Tex","IFNG",0
"Th1","Tex","IL4",1
"Th1","Tex","IL4",1
"Th1","Tex","IL6",1
"Th1","Tex","IL6",1
"Th1","Tex","RORGT",1
"Th1","Tex","RORGT",1
"Th1","Tex","TBET",0
"Th1","Tex","TBET",0
"Th1","Th1","IFNGe",0
"Th1","Th1","IFNGe",0
"Th1","Th1","IL12e",0
"Th1","Th1","IL12e",0
"Th1","Th1","IL2",0
"Th1","Th1","IL2",1
"Th1","Th1","IL2e",1
"Th1","Th1","IL2e",1
"Th1","Th1","IL4e",1
"Th1","Th1","IL4e",1
"Th1","Th1","IL6e",1
"Th1","Th1","IL6e",1
"Th1","Th1","SOCS1",0
"Th1","Th1","SOCS1",0
"Th1","Th1","SOCS2",0
"Th1","Th1","SOCS2",0
"Th1","Th1","SOCS3",0
"Th1","Th1","SOCS3",0
"Th1","Th1R","FOXP3",1
"Th1","Th1R","FOXP3",1
"Th1","Th1R","IL10",1
"Th1","Th1R","IL10",1
"Th1","Th1R","IL10e",1
"Th1","Th1R","IL10e",1
"Th1","Th1R","TGFB",1
"Th1","Th1R","TGFB",1
"Th1","Th1R","TGFBe",1
"Th1","Th1R","TGFBe",1
"Th1R","Tex","TCR",0
"Th1R","Tex","TCR",0
"Th1R","Tex","TCR",0
"Th1R","Tex","TCR",0
"Th1R","Tex","TCR",0
"Th1R","Tex","IFNG",0
"Th1R","Tex","IFNG",0
"Th1R","Tex","IL6",1
"Th1R","Th1","IL10",0
"Th1R","Th1","IL10",0
"Th1R","Th1","TGFB",0
"Th1R","Th1","TGFB",0
"Th1R","Th1R","FOXP3",1
"Th1R","Th1R","FOXP3",1
"Th1R","Th1R","FOXP3",1
"Th1R","Th1R","FOXP3",1
"Th1R","Th1R","FOXP3",1
"Th1R","Th1R","IFNG",0
"Th1R","Th1R","IFNG",0
"Th1R","Th1R","IFNG",1
"Th1R","Th1R","IFNGe",0
"Th1R","Th1R","IFNGe",0
"Th1R","Th1R","IFNGe",0
"Th1R","Th1R","IFNGe",0
"Th1R","Th1R","IFNGe",0
"Th1R","Th1R","IL10",0
"Th1R","Th1R","IL10",0
"Th1R","Th1R","IL10",1
"Th1R","Th1R","IL10e",1
"Th1R","Th1R","IL10e",1
"Th1R","Th1R","IL10e",1
"Th1R","Th1R","IL10e",1
"Th1R","Th1R","IL10e",1
"Th1R","Th1R","IL12e",0
"Th1R","Th1R","IL12e",0
"Th1R","Th1R","IL12e",0
"Th1R","Th1R","IL12e",0
"Th1R","Th1R","IL12e",0
"Th1R","Th1R","IL2",0
"Th1R","Th1R","IL2",1
"Th1R","Th1R","IL2",1
"Th1R","Th1R","IL2",1
"Th1R","Th1R","IL2",1
"Th1R","Th1R","IL2e",1
