"initial","final","genes","values"
"Naive","Tex","IFNG",1
"Naive","Tex","IFNGe",0
"Naive","Tex","IL10e",1
"Naive","Tex","IL12e",0
"Naive","Tex","IL2",1
"Naive","Tex","IL2e",1
"Naive","Tex","IL4",1
"Naive","Tex","IL4e",0
"Naive","Tex","IL6",1
"Naive","Tex","IL6e",0
"Naive","Tex","SOCS1",0
"Naive","Tex","SOCS2",1
"Naive","Tex","SOCS3",1
"Naive","Tex","TGFBe",0
"Naive","NoLabel","FOXP3",1
"Naive","Tex","GATA3",1
"Naive","Tex","RORGT",1
"Naive","Tex","TBET",1
"Naive","Th17","TCR",1
"Naive","Tr","IL10",1
"Naive","Tr","TGFB",1
"Th17","Tex","TCR",0
"Th17","Tex","TGFB",0
"Th17","Tex","TGFBe",0
"Th17","Th17","IFNGe",0
"Th17","Th17","IL12e",0
"Th17","Th17","IL2e",1
"Th17","Th17","IL4e",0
"Th17","Th17","IL6e",0
"Th17","Th17","SOCS2",1
"Th17","Th1R","IFNG",1
"Th17","Th1R","IL2",1
"Th17","Th1R","IL6",0
"Th17","Th1R","SOCS1",0
"Th17","Th1R","TBET",1
"Th17","Th2R","GATA3",1
"Th17","Tr","IL10",1
"Th17","Tr","IL10e",1
"Th17","Tr","IL4",1
"Th17","Tr","RORGT",0
"Th17","Tr","SOCS3",1
"Th17","Treg","FOXP3",1
"Th1R","Tex","TCR",0
"Th1R","Tex","TCR",0
"Th1R","Tex","TCR",0
"Th1R","Tex","TGFB",0
"Th1R","Th1","TGFB",0
"Th1R","Th17","IFNG",0
"Th1R","Th17","IFNGe",0
"Th1R","Th17","IL10",0
"Th1R","Th17","SOCS3",0
"Th1R","Th17R","SOCS3",0
"Th1R","Th17R","SOCS3",0
"Th1R","Th1R","FOXP3",1
"Th1R","Th1R","FOXP3",1
"Th1R","Th1R","FOXP3",1
"Th1R","Th1R","IFNG",0
"Th1R","Th1R","IFNG",1
"Th1R","Th1R","IFNGe",0
"Th1R","Th1R","IFNGe",0
"Th1R","Th1R","IL10",0
"Th1R","Th1R","IL10",1
"Th1R","Th1R","IL10e",1
"Th1R","Th1R","IL10e",1
"Th1R","Th1R","IL10e",1
"Th1R","Th1R","IL12e",0
"Th1R","Th1R","IL12e",0
"Th1R","Th1R","IL12e",0
"Th1R","Th1R","IL2",1
"Th1R","Th1R","IL2",1
"Th1R","Th1R","IL2",1
"Th1R","Th1R","IL2e",1
"Th1R","Th1R","IL2e",1
"Th1R","Th1R","IL2e",1
"Th1R","Th1R","IL4e",0
"Th1R","Th1R","IL4e",0
"Th1R","Th1R","IL4e",0
"Th1R","Th1R","IL6e",0
"Th1R","Th1R","IL6e",0
"Th1R","Th1R","IL6e",0
"Th1R","Th1R","SOCS1",0
"Th1R","Th1R","SOCS1",0
"Th1R","Th1R","SOCS1",0
"Th1R","Th1R","SOCS2",0
"Th1R","Th1R","SOCS2",0
"Th1R","Th1R","SOCS2",0
"Th1R","Th1R","TGFB",0
"Th1R","Th1R","TGFBe",0
"Th1R","Th1R","TGFBe",0
"Th1R","Th1R","TGFBe",0
"Th1R","Tr*","RORGT",1
"Th1R","Tr*","RORGT",1
"Th1R","Tr*","RORGT",1
"Th1R","Th2R","GATA3",1
"Th1R","Th2R","GATA3",1
"Th1R","Th2R","GATA3",1
"Th1R","Tr","IL4",1
"Th1R","Tr","IL4",1
"Th1R","Tr","IL4",1
"Th1R","Tr","IL6",1
"Th1R","Tr","IL6",1
"Th1R","Tr","IL6",1
"Th1R","Tr","TBET",0
"Th1R","Tr","TBET",0
"Th1R","Tr","TBET",0
"Tr","Tex","TCR",0
"Tr","Tex","TGFB",0
"Tr","Th17","IL10",0
"Tr","Th17R","SOCS3",0
"Tr","Tr*","RORGT",1
"Tr","Th1R","IFNG",1
"Tr","Th1R","TBET",1
"Tr","Th2R","GATA3",1
"Tr","Tr","IFNGe",0
"Tr","Tr","IL10e",1
"Tr","Tr","IL12e",0
"Tr","Tr","IL2e",1
"Tr","Tr","IL4",1
"Tr","Tr","IL4e",0
"Tr","Tr","IL6",1
"Tr","Tr","IL6e",0
"Tr","Tr","SOCS1",0
"Tr","Tr","SOCS2",0
"Tr","Tr","TGFBe",0
"Tr","Treg","FOXP3",1
"Tr","Treg","IL2",1
